	title	url	date	location	price	artists
0	【长春】 【项目延期】2021长春·禧都音乐节	https://detail.damai.cn/item.htm?id=650278679055&clicktitle=%E3%80%90%E9%A1%B9%E7%9B%AE%E5%BB%B6%E6%9C%9F%E3%80%912021%E9%95%BF%E6%98%A5%C2%B7%E7%A6%A7%E9%83%BD%E9%9F%B3%E4%B9%90%E8%8A%82	2021.07.31-12.31	长春 | 长春奥林匹克公园(吉林省长春市宽城区中科大街与大学城路交汇)	228-588元	艺人：弹壳、姜云升、高天佐Trouble.Z、泥鳅Zinco
1	【沈阳】 【项目延期】2021沈阳千鲸音乐节	https://detail.damai.cn/item.htm?id=649474889625&clicktitle=%E3%80%90%E9%A1%B9%E7%9B%AE%E5%BB%B6%E6%9C%9F%E3%80%912021%E6%B2%88%E9%98%B3%E5%8D%83%E9%B2%B8%E9%9F%B3%E4%B9%90%E8%8A%82	2021.07.31-2022.06.20	沈阳 | 沈阳市铁西区拾壹-烟花小镇	188-228元	艺人：二手玫瑰、赵雷
2	【延边】 首届延边和龙延安村稻田电音节	https://detail.damai.cn/item.htm?id=651507693896&clicktitle=%E9%A6%96%E5%B1%8A%E5%BB%B6%E8%BE%B9%E5%92%8C%E9%BE%99%E5%BB%B6%E5%AE%89%E6%9D%91%E7%A8%BB%E7%94%B0%E7%94%B5%E9%9F%B3%E8%8A%82	2021.08.13-12.31	延边 | 和龙市漫时光稻香民宿	138-308元	
3	【沈阳】 【项目延期】2021吉祥如意生活节	https://detail.damai.cn/item.htm?id=650663229922&clicktitle=%E3%80%90%E9%A1%B9%E7%9B%AE%E5%BB%B6%E6%9C%9F%E3%80%912021%E5%90%89%E7%A5%A5%E5%A6%82%E6%84%8F%E7%94%9F%E6%B4%BB%E8%8A%82	2021.08.14-12.31	沈阳 | 沈阳恒大文化旅游城	77-99元	
4	【大庆】 【延期｜时间待定】2021大庆国潮星动音乐节	https://detail.damai.cn/item.htm?id=649652455573&clicktitle=%E3%80%90%E5%BB%B6%E6%9C%9F%EF%BD%9C%E6%97%B6%E9%97%B4%E5%BE%85%E5%AE%9A%E3%80%912021%E5%A4%A7%E5%BA%86%E5%9B%BD%E6%BD%AE%E6%98%9F%E5%8A%A8%E9%9F%B3%E4%B9%90%E8%8A%82	2021.08.28-12.31	大庆 | 大庆赛车小镇	288-588元	艺人：朴树、郑钧、郝云、二手玫瑰、霓虹花园、麻园诗人、康姆士COM'Z、夏日入侵企画
5	【温州】 2021楠溪江·星巢秘境音乐节【项目延期，时间待定】	https://detail.damai.cn/item.htm?id=655049463964&clicktitle=2021%E6%A5%A0%E6%BA%AA%E6%B1%9F%C2%B7%E6%98%9F%E5%B7%A2%E7%A7%98%E5%A2%83%E9%9F%B3%E4%B9%90%E8%8A%82%E3%80%90%E9%A1%B9%E7%9B%AE%E5%BB%B6%E6%9C%9F%EF%BC%8C%E6%97%B6%E9%97%B4%E5%BE%85%E5%AE%9A%E3%80%91	2021.10.06-12.31	温州 | 楠溪江滩地音乐公园	388-1288元	艺人：郭顶、姜云升、沙一汀、康姆士COM'Z、棱镜乐队、夏日入侵企画、霓虹花园、椅子乐团、回春丹、彩文乐队、LeeyOn李昂、柳爽、崔开潮、时间不够以后
6	【南京】 南京欢乐谷蓝鲸音乐节【10月15日 高天佐TroubleZ】	https://detail.damai.cn/item.htm?id=656431210891&clicktitle=%E5%8D%97%E4%BA%AC%E6%AC%A2%E4%B9%90%E8%B0%B7%E8%93%9D%E9%B2%B8%E9%9F%B3%E4%B9%90%E8%8A%82%E3%80%9010%E6%9C%8815%E6%97%A5%20%E9%AB%98%E5%A4%A9%E4%BD%90TroubleZ%E3%80%91	2021.10.15 周五 20:00	南京 | 南京欢乐谷	240元	
7	【北京】 北京麦田音乐节	https://detail.damai.cn/item.htm?id=657261967538&clicktitle=%E5%8C%97%E4%BA%AC%E9%BA%A6%E7%94%B0%E9%9F%B3%E4%B9%90%E8%8A%82	2021.10.16-10.17	北京 | 北京温榆河公园朝阳示范区	388-1088元	艺人：薛之谦、谢帝、刺猬乐队、郁可唯、房东的猫、太一、STOLEN秘密行动、反光镜乐队
8	【晋中】 2021山西草莓音乐节	https://detail.damai.cn/item.htm?id=657306326591&clicktitle=2021%E5%B1%B1%E8%A5%BF%E8%8D%89%E8%8E%93%E9%9F%B3%E4%B9%90%E8%8A%82	2021.10.16-10.17	晋中 | 榆次老城	339-699元	艺人：痛仰乐队、万能青年旅店、达达乐队、五条人、陈粒、Joyside、海龟先生、草东没有派对、旅行团乐队、九连真人、阿肆、贰佰、棱镜乐队、韦礼安、康姆士COM'Z、PeaceHotel和平饭店乐队、蛙池、孔雀眼
9	【杭州】 2021杭州MDSK音乐节	https://detail.damai.cn/item.htm?id=656327885405&clicktitle=2021%E6%9D%AD%E5%B7%9EMDSK%E9%9F%B3%E4%B9%90%E8%8A%82	2021.10.16-10.17	杭州 | T-car杭州汽车文化主题公园	339-699元	艺人：王以太、李大奔、Tizzy T、钱正昊、黄新淳、满舒克、OB03、阿达娃、张思源
