ShowStart
,title,url,date,location,price,artists,images
0,10月16日 热浪音乐节2021「热爱自由 乘风破浪」！,https://www.showstart.com/event/163460,时间：2021/10/16 13:00,[枣庄]枣庄市民中心体育场,¥328起,艺人：Carsick Cars/舌头乐队/声音碎片/声音玩具/白皮书/白百 EndlessWhite/甜又丧/無望春Nospring,https://s2.showstart.com/img/2021/0927/23/30/c35fcad1e07b44bb9bf9eb92cf2ee049_1200_1600_2471957.0x0.png
1,10月17日 热浪音乐节2021「热爱自由 乘风破浪」！,https://www.showstart.com/event/163473,时间：2021/10/17 13:00,[枣庄]枣庄市民中心体育场,¥328,艺人：Steely Heart钢心乐队/谢天笑/岛屿心情/卧轨的火车/堆填区LANDFILLS/回春丹乐队/霓虹花园/海底时光机,https://s2.showstart.com/img/2021/0927/23/30/c35fcad1e07b44bb9bf9eb92cf2ee049_1200_1600_2471957.0x0.png
2,10月30日 2021日照山河音乐节,https://www.showstart.com/event/163213,时间：2021/10/30 14:30,[日照]日照白鹭湾美术馆小镇·白鹭牧场,¥260起,艺人：二手玫瑰乐队/木马乐队/声音碎片/谢天笑/王宝和正午阳光/棱镜,https://s2.showstart.com/img/2021/0924/18/30/4bc50e309ba54c60827d3c3b38146acf_1200_1600_1422644.0x0.png
3,【2021.10.16】宁波香橙音乐节,https://www.showstart.com/event/155032,时间：2021/10/16 16:50,[宁波]宁波文化广场,¥220起,艺人：霓虹花园/帆布小镇/Mandarin/不可描述乐队/神秘乐队,https://s2.showstart.com/img/2021/0918/11/30/3ab0d75aae8442e790db2b11db4c6a27_1200_1600_2159789.0x0.png
4,【2021.10.17】宁波香橙音乐节,https://www.showstart.com/event/155036,时间：2021/10/17 16:50,[宁波]宁波文化广场,¥220起,艺人：Colorful Bar彩色文胸/柳爽/JUNO乐队/沈以诚/神秘乐队,https://s2.showstart.com/img/2021/0918/11/30/3ab0d75aae8442e790db2b11db4c6a27_1200_1600_2159789.0x0.png
5,2021溧阳青空音乐节,https://www.showstart.com/event/164249,时间：2021/10/30 14:00,[南京]环球融创曹山未来城,¥299起,艺人：Twinkle Star闪星/痛仰/逃跑计划/麻园诗人/理想后花园乐队/破碎乐队/黑屋乐队/跳大海/贩卖生活/天堂隔壁乐队,https://s2.showstart.com/img/2021/1002/19/30/033e620136bd4801bea5b5a7804a6614_1200_1600_794387.0x0.png
6,2021溧阳青空音乐节,https://www.showstart.com/event/164251,时间：2021/10/31 14:00,[南京]环球融创曹山未来城,¥299起,艺人：Twinkle Star闪星/痛仰/逃跑计划/麻园诗人/理想后花园乐队/破碎乐队/黑屋乐队/跳大海/贩卖生活/天堂隔壁乐队,https://s2.showstart.com/img/2021/1002/19/30/033e620136bd4801bea5b5a7804a6614_1200_1600_794387.0x0.png
7,11.6元气森林音乐节,https://www.showstart.com/event/161238,时间：2021/11/06 15:00,[成都]成都非物质文化遗产博览园,¥488,艺人：3Bangz/未来星B3Rich/姜云升/张颜齐/于贞/王子异/阿达娃/沙一汀/刘宪华Henry/斯丹曼簇,https://s2.showstart.com/img/2021/0908/17/00/c766e9ef721a446db334a34e4958ac36_1200_1600_1381875.0x0.png
8,11.7元气森林音乐节,https://www.showstart.com/event/161239,时间：2021/11/07 15:00,[成都]成都非物质文化遗产博览园,¥488起,艺人：茶凉粉乐队/万能青年旅店/逃跑计划/旅行团/麻园诗人/皇后皮箱/Project Ace/朴树/房东的猫/悶餅Moonband/宠物同谋,https://s2.showstart.com/img/2021/0908/17/00/c766e9ef721a446db334a34e4958ac36_1200_1600_1381875.0x0.png
9,趣嗨室内音乐节-成都站,https://www.showstart.com/event/161222,时间：2021/11/13 19:00,[成都]Alive壹现场livehouse,¥188起,艺人：AnsrJ/直火帮 Straight Fire Gang/EIRVING拉音/克然Eli/夏提lil rich/土人儿TRE,https://s2.showstart.com/img/2021/0930/14/30/6914c93289134c58997f42b333001d0e_1200_1600_1167205.0x0.png
